date,product_name,batch_no,test_item,value,spec_min,spec_max,analyst,equipment_id,raw_material_lot
2026-02-23,Tablet-A,BT24023,Assay,111.3,95.0,105.0,Lee,EQ-05,RM-105
2026-02-23,Tablet-A,BT24023,Dissolution,125.7,80.0,120.0,Lee,EQ-05,RM-105
2026-02-24,Capsule-C,BT24024,Assay,98.3,95.0,105.0,Park,EQ-02,RM-304
2026-02-24,Capsule-C,BT24024,Content Uniformity,85.4,85.0,115.0,Park,EQ-02,RM-304
2026-02-25,Capsule-C,BT24025,Assay,99.1,95.0,105.0,Park,EQ-02,RM-304
2026-02-25,Capsule-C,BT24025,Content Uniformity,84.6,85.0,115.0,Park,EQ-02,RM-304
2026-02-26,Syrup-D,BT24026,pH,4.9,4.0,5.0,Han,EQ-04,RM-404
2026-02-26,Syrup-D,BT24026,Viscosity,138.4,90.0,130.0,Han,EQ-04,RM-404
2026-02-27,Syrup-D,BT24027,pH,4.1,4.0,5.0,Lee,EQ-04,RM-404
2026-02-27,Syrup-D,BT24027,Viscosity,92.7,90.0,130.0,Lee,EQ-04,RM-404
2026-02-28,Tablet-B,BT24028,Assay,107.2,95.0,105.0,Lee,EQ-03,RM-203
2026-02-28,Tablet-B,BT24028,Dissolution,75.9,80.0,120.0,Lee,EQ-03,RM-203
